left,right,match
(2004) Annie - Chewing Gum (Headman Vocal Remix).mp3,Patrick Cowley - Do You Wanna Funk? (feat. Sylvester).mp3,False
01 Leinad - In Trouble.mp3,Flood - Still Want You.mp3,False
10 Leinad - Electric City.mp3,Light Blue File - Nasty Time (Original Mix) [Pryma Records].mp3,True
03.Surtek Collective - Shari (Daniel Maloso Remix).mp3,06 - Bitch Ass Darius - Dollars.mp3,False
08 Leinad - Bombers.mp3,Kid Sublime - Real Hipsters Don't Dance.mp3,True
06 Leinad - Voice Spectrum.mp3,DJ Love - All The Way (Original Mix).mp3,False
DJ Love - All The Way (Original Mix).mp3,Kendal - Basorexia.mp3,False
07 L.A. Mattress.mp3,Niels van Gogh - Pulvertum (DJ Tomcraft Remix).mp3,False
071 - Ozzie Guven - The One.mp3,tanganazo - Schkaboogie -  Funky Chow (Pudding And Pie Version).mp3,False
08. Omnicron - The Bushmen.mp3,10 Neighbour - Pistachio Ride.mp3,False
01 - Captain Comatose - Price Gun Baby (Playgroup Remix).mp3,10 Neighbour - Pistachio Ride.mp3,False
04_Whatever U Want.mp3,08 Leinad - Bombers.mp3,True
03-a-link-straight_micro_groove-5f61f17c.mp3,Bronski Beat - Smalltown Boy (12” Version).mp3,False
03 Conor - Bonus Drugs.mp3,The Spirals - Without Control (Spirit Catcher Goes To Infinity Mix).mp3,False
03 Conor - Bonus Drugs.mp3,04 - Shakedown - At Night.mp3,True
18. Swallow (Derrick Carter's Weirdy Vox Dub).mp3,L.P. Rhythm - Move Your Body.mp3,True
01 Rhythm Remote.mp3,The Electric Press - Untitled B1.mp3,False
03-velvet_velour-ok-e80ed298.mp3,"Emi Ömar, Loick Besnard, Loick Besnard, Loick Besnard - Shaman King.mp3",False
04 - Rework - I Think You Think.mp3,06 - Captain Comatose - Price Gun Baby (Ac's Tagged Mix).mp3,False
04 - Captain Comatose - Price Gun Baby (Kiki & Silversurfer's 6.66 Remix).mp3,tanganazo - Schkaboogie -  Funky Chow (Pudding And Pie Version).mp3,False
07 Leinad - Loving People.mp3,Rosemary Martins - Love to Love You Baby.mp3,True
04_Whatever U Want.mp3,T. Jacques - Five Dollar Shake.mp3,True
Paul Grogan - Sex Talk (Original Mix).mp3,T. Jacques - Five Dollar Shake.mp3,True
A2 - Sequel Bass - Speed.mp3,Blacksoul - Got Funk.mp3,False
02 - Ricardo Villalobos - Früh.mp3,Two Shell - Unrequited.mp3,False
03 - Bumper - Mascara Love.mp3,a1_miles_maeda-give_me_love-emp.mp3,False
02 - Captain Comatose - $100 (Munk Remix).mp3,02-jjak_hogan-tu_da_future.mp3,False
Bronski Beat - Smalltown Boy (12” Version).mp3,Paul Grogan - Sex Talk (Original Mix).mp3,False
03-velvet_velour-ok-e80ed298.mp3,07 L.A. Mattress.mp3,False
04-sramaana-quartz_resonance-7d496ee7.mp3,"Emi Ömar, Loick Besnard, Loick Besnard, Loick Besnard - Shaman King.mp3",False
04. Giorgio Maulini - Storyteller (Original Mix).mp3,071 - Ozzie Guven - The One.mp3,False
16 Bit Lolitas - 5 to 12 (Original Mix).mp3,a1_miles_maeda-give_me_love-emp.mp3,False
Niels van Gogh - Pulvertum (DJ Tomcraft Remix).mp3,Two Shell - Unrequited.mp3,False
02_thomilla_with_ayak_-_freaky_girl_(dj_t.s_electric_boogie_mix)-mod.mp3,I Feel Love (Kevin McKay Club Mix).mp3,True
02 - Ricardo Villalobos - Früh.mp3,08 - Shakedown - Drowsy With Hope.mp3,False
02-mr_roper-rod_the_bod_wrangler_feat_mr_roper-i_wanna_be_a_vip-tsp.mp3,Niels van Gogh - Pulvertum (DJ Tomcraft Remix).mp3,False
11-indigo_persona-zenith-a3b77618.mp3,Paul Grogan - Sex Talk (Original Mix).mp3,False
14 - SDA - Vous êtes un arbre.mp3,Never Dull - Since I've Been Gone [Night Shift Records].mp3,True
01-pepe_elle--funk_you-e83d7488.mp3,tek_box_move_your_hips_(idjut_boys_edit_2015_remaster).mp3,False
05 - Little Computer People - I Am.mp3,NeoFx - Banana Brain.mp3,False
06 - Captain Comatose - Price Gun Baby (Ac's Tagged Mix).mp3,Ursula 1000 Vs Sista Widey - Step Back (Deekline & Ed Solo Remix).mp3,False
01 - DJ REiZ - Faust into the Stars.mp3,DJ Arne LII - Grave diggers Have more fun.mp3,False
03-solma-ritualism_(dissociative_mix)-cde72c46.mp3,06 - Rework - Loin De Moi.mp3,False
Blacksoul - Something Is Wrong ( Lhk and Alex Moran Remix ).mp3,The Emperor Machine - TwoVoice (Version 54).mp3,False
01 - Bumper - Everybody Fonki.mp3,Solar vs Audiofly - Live Love (Audiofly Mix).mp3,False
01 Rhythm Remote.mp3,Tom Frankel - Margin Call.mp3,True
04. Giorgio Maulini - Storyteller (Original Mix).mp3,Spirit Catcher - Glide Explorer.mp3,True
03. Can't Get You Out of My Head (Extended Mix).mp3,Bronski Beat - Smalltown Boy (12” Version).mp3,True
04 - Captain Comatose - Price Gun Baby (Kiki & Silversurfer's 6.66 Remix).mp3,Kid Sublime - Real Hipsters Don't Dance.mp3,True
05 - Feuerhake - Select.mp3,08 - Shakedown - Drowsy With Hope.mp3,False
02 - Bumper - Every MF Night.mp3,I Feel Love (Kevin McKay Club Mix).mp3,False
01 Dancing Queen (Jussi Pekka Germanny Mix).mp3,11 Leinad - So Called Artists.mp3,False
02_the_electric_press_-_a_new_world_(original_mix).mp3,04 Leinad - Pretty Young Thing.mp3,False
Bronco Joyce - Faster Than the Speed of Sound.mp3,DJ Love - All The Way (Original Mix).mp3,False
10-rm_estali-laco-67b19703.mp3,Tom Frankel - Space Cake.mp3,False
05 - Little Computer People - I Am.mp3,12 Leinad - Let's Do It.mp3,False
Light Blue File - T.F.D.E.F.D.S.d (Original Mix) [Pryma Records].mp3,Tony De Vit - Make Love To Me.mp3,False
01-gehlektek--gehenna-oma.mp3,17-Spirit Catcher--Secret Stranger (Dub Mix)-35731532.mp3,False
Bronski Beat - Smalltown Boy (12” Version).mp3,Kandy Floss - Roza Terenzi - Mix 01- (Master).mp3,False
Pétoux & Teksa - Nervous Attack-345652430.mp3,Spirit Catcher - Glide Explorer.mp3,False
06 Leinad - Voice Spectrum.mp3,Phonogenic - Bitrayal.mp3,False
"408. Kenny Hawkes, Louise Carver - Play The Game (Extended Mix).mp3",Jerome Six - Every Single Time (Max Chapman Deep Mix).mp3,True
01-maxim_samos-alpha_storm_(an-2_remix)-wws.mp3,a1_miles_maeda-give_me_love-emp.mp3,False
09 - Shakedown - Right Thang.mp3,Boogie Corporation - Troubled Funk (Original Mix).mp3,True
01 DJ Reiz - Wasted in Nørrebro.mp3,Solar vs Audiofly - Live Love (Audiofly Mix).mp3,False
03 - Furie.mp3,Solar vs Audiofly - Live Love (Audiofly Mix).mp3,False
04 - Captain Comatose - Price Gun Baby (Kiki & Silversurfer's 6.66 Remix).mp3,Tom Frankel - Margin Call.mp3,False
07 - Captain Comatose - Don't Come Back (Snax Mix).mp3,The Emperor Machine - Stiff Poly (Extended Mix).mp3,True
02-phran_feat_ivy_barkakati--impulse_(john_barera_remix)-df75de0d.mp3,a1_miles_maeda-give_me_love-emp.mp3,False
02 Origins Of Telluria.mp3,MenteK - Mental Therapy.mp3,False
02 Origins Of Telluria.mp3,07 - An-2 - Melting.mp3,False
