audio_track,target,estimated_similarity,zcr_similarity,rhythm_similarity,chroma_similarity,energy_envelope_similarity,spectral_contrast_similarity,perceptual_similarity,swass
tracks/05 - Shakedown - You Thing You Know.mp3,tracks/17-Spirit Catcher--Secret Stranger (Dub Mix)-35731532.mp3,3.0,0.9981196935477812,0.5472104484953934,0.7040540874004364,0.5122082130119384,0.9136228180834529,0.5950002412264783,0.711459997243557
tracks/04 - House Is Mine (Baby Doc Remix).aif,tracks/17-Spirit Catcher--Secret Stranger (Dub Mix)-35731532.mp3,0.0,0.979887715284356,0.5457584298661966,0.753346249461174,0.5038479743065608,0.8915235563473777,0.5740494128908801,0.7101455145659152
tracks/010 - Casanovy - I Need Your Lovin' (Milk & Sugar Remix) (2005).mp3,tracks/17-Spirit Catcher--Secret Stranger (Dub Mix)-35731532.mp3,3.0,0.9404507757236991,0.5323772046770273,0.7192503809928894,0.5168349568384153,0.9244555425411245,0.5676814623644487,0.696081014689567
tracks/6 Transsylvanian Express.aiff,tracks/17-Spirit Catcher--Secret Stranger (Dub Mix)-35731532.mp3,0.0,0.9557192089582748,0.5485716833538878,0.7534875571727753,0.5008998244130758,0.8715722063495277,0.6163037177145523,0.7120636365161584
tracks/01 - Natural Born Grooves - Universal Love (Club Vocal).aiff,tracks/17-Spirit Catcher--Secret Stranger (Dub Mix)-35731532.mp3,2.0,0.9272172329382062,0.5361804469872316,0.7540234178304672,0.5088682298359151,0.9083050427471357,0.5711593615915005,0.6994334191277862
tracks/08 - Shakedown - Drowsy With Hope.mp3,tracks/17-Spirit Catcher--Secret Stranger (Dub Mix)-35731532.mp3,3.0,0.9875621615459831,0.542081187305728,0.7639179527759552,0.4990062876114726,0.9054358027558931,0.5777098526341435,0.7146984398890985
tracks/02 - DJ Normal 4 - Purity 0%.aiff,tracks/17-Spirit Catcher--Secret Stranger (Dub Mix)-35731532.mp3,0.0,0.99860223971733,0.5437225072283332,0.6449112892150879,0.5077400084624598,0.8908383465997783,0.5754897672054443,0.6924029961794629
tracks/Electroid - France Electronique (Apoll Mix).mp3,tracks/17-Spirit Catcher--Secret Stranger (Dub Mix)-35731532.mp3,3.0,0.9729656314661822,0.5466238525119449,0.7796078026294708,0.5054828569041955,0.9248458878868691,0.565824448834523,0.7160372215675307
tracks/15. T Power - The System (Wipeout Dub).aif,tracks/17-Spirit Catcher--Secret Stranger (Dub Mix)-35731532.mp3,0.0,0.9718865016785352,0.5393057944104025,0.7243721187114716,0.4984723985753696,0.9024328893412327,0.5878559601931849,0.7047746037903792
tracks/16 Bit Lolitas - 5 to 12 (Original Mix).mp3,tracks/17-Spirit Catcher--Secret Stranger (Dub Mix)-35731532.mp3,4.0,0.9854993618129602,0.6788414548026824,0.6678472459316254,0.5088408962730648,0.9308892178674409,0.6024244681893021,0.7308955175613646
tracks/01 - Look Around.aiff,tracks/17-Spirit Catcher--Secret Stranger (Dub Mix)-35731532.mp3,3.0,0.999648499746787,0.5466082463170163,0.7122223675251007,0.49370682653534065,0.888725309616748,0.5569665535264863,0.701332347038287
tracks/01 - May I Help You.aiff,tracks/17-Spirit Catcher--Secret Stranger (Dub Mix)-35731532.mp3,2.0,0.9737290752250428,0.5473349381288992,0.7410376667976379,0.5048147802418876,0.8754677297758815,0.5566073599928469,0.7017700590306624
tracks/06 - Abdul Raeva - Hypnodrome [209645192].aiff,tracks/17-Spirit Catcher--Secret Stranger (Dub Mix)-35731532.mp3,2.0,0.9960885306703219,0.5337202646824085,0.6778343915939331,0.4974129764920335,0.905941836730907,0.5598968520006985,0.6938434891117665
tracks/03. WORK ALL NITE _Overtime_.aiff,tracks/17-Spirit Catcher--Secret Stranger (Dub Mix)-35731532.mp3,1.0,0.9986652151487114,0.5443951144809089,0.762546643614769,0.5142965197579698,0.8814176124491137,0.5786237791057667,0.7164175636907396
tracks/03 - Shakedown - Disconnected.mp3,tracks/17-Spirit Catcher--Secret Stranger (Dub Mix)-35731532.mp3,2.0,0.9854720161895124,0.5413727864560025,0.6769340634346008,0.5004355644592281,0.8915459982807993,0.5967255639320724,0.6992990422764405
tracks/03 - Furie.mp3,tracks/17-Spirit Catcher--Secret Stranger (Dub Mix)-35731532.mp3,2.0,0.9951691256254903,0.5429137754751855,0.7392328977584839,0.5075907439388643,0.9279762574546222,0.574328258255202,0.7138855115622209
tracks/Happiness Therapy - Happy House Vol. 7 - 07 Wooka - To RelaxxX.aiff,tracks/17-Spirit Catcher--Secret Stranger (Dub Mix)-35731532.mp3,3.0,0.982106939550111,0.5401414524973921,0.7127139866352081,0.5036971097676537,0.8876494491987934,0.563935480801614,0.6989142277935099
tracks/1 - Two Shell - home.aiff,tracks/17-Spirit Catcher--Secret Stranger (Dub Mix)-35731532.mp3,1.0,0.9839341983095083,0.5293468679748796,0.6771532297134399,0.5119739897953198,0.8965611225985928,0.5864965659983206,0.696239683638621
tracks/22. Pariah - Prism.aiff,tracks/17-Spirit Catcher--Secret Stranger (Dub Mix)-35731532.mp3,0.0,0.9930198332553731,0.5425218538213564,0.665624737739563,0.5045824171089454,0.9024131009581178,0.5690717816415672,0.6947471930982784
tracks/05 - Captain Comatose - $100.aiff,tracks/17-Spirit Catcher--Secret Stranger (Dub Mix)-35731532.mp3,3.0,0.9968830814544704,0.5366658134726899,0.6754951477050781,0.499999951357138,0.8660696299565096,0.5599024427459294,0.6903962552069983
tracks/Shiro Schwarz - Move Your Body.mp3,tracks/17-Spirit Catcher--Secret Stranger (Dub Mix)-35731532.mp3,2.0,0.9809419333540409,0.5409865087523971,0.7092972695827484,0.4994396278997988,0.877354260974678,0.5864525277486821,0.7012150367750214
tracks/Nightcrawlers - Push the Feeling On (The dub of Doom).aiff,tracks/17-Spirit Catcher--Secret Stranger (Dub Mix)-35731532.mp3,1.0,0.9681870404630291,0.541052267190883,0.6816294193267822,0.503451278252433,0.8941961013605186,0.5630397313350312,0.6905464296244402
tracks/02 - Little Computer People - Electro Pop.mp3,tracks/17-Spirit Catcher--Secret Stranger (Dub Mix)-35731532.mp3,2.0,0.9931525953409768,0.538802789024042,0.7301739752292633,0.5201067431278384,0.931755994742235,0.5735342938708343,0.7123190044800306
tracks/03. Frozen (William Ørbit Drumapella).aiff,tracks/17-Spirit Catcher--Secret Stranger (Dub Mix)-35731532.mp3,2.0,0.9901654818041038,0.5392482298843804,0.6824911832809448,0.5045364961947688,0.879570714563908,0.5713927004028533,0.6950702401503243
tracks/Verdé Sative _– Positive Cult (P-Gressive Mix).aiff,tracks/17-Spirit Catcher--Secret Stranger (Dub Mix)-35731532.mp3,2.0,0.9867138085740461,0.5407088960006786,0.7214743793010712,0.5098550674229521,0.8735152133098958,0.5597044875314885,0.7000573423547416
